Customers,,,,,,
customer_id,signup_date,signup_month,initial_plan,billing_cycle,acquisition_channel,region
CUST0001,2023-01-09,2023-01,Growth,Monthly,Paid Ads,South
CUST0002,2023-01-24,2023-01,Starter,Monthly,Partner,North
CUST0003,2023-01-03,2023-01,Growth,Monthly,Paid Ads,South
CUST0004,2023-01-07,2023-01,Growth,Monthly,Partner,West
CUST0005,2023-01-26,2023-01,Starter,Monthly,Organic Search,South
CUST0006,2023-01-05,2023-01,Growth,Monthly,Paid Ads,East
CUST0007,2023-01-12,2023-01,Starter,Monthly,Referral,International
CUST0008,2023-01-15,2023-01,Starter,Monthly,Partner,North
CUST0009,2023-01-18,2023-01,Enterprise,Monthly,Referral,International
CUST0010,2023-01-07,2023-01,Pro,Monthly,Organic Search,North
CUST0011,2023-01-03,2023-01,Growth,Annual,Paid Ads,North
CUST0012,2023-01-27,2023-01,Starter,Monthly,Referral,South
CUST0013,2023-01-09,2023-01,Starter,Monthly,Organic Search,International
CUST0014,2023-01-08,2023-01,Growth,Monthly,Paid Ads,West
CUST0015,2023-01-21,2023-01,Starter,Annual,Partner,South
CUST0016,2023-01-25,2023-01,Growth,Annual,Organic Search,South
CUST0017,2023-01-13,2023-01,Pro,Annual,Referral,North
CUST0018,2023-01-29,2023-01,Starter,Annual,Referral,South
CUST0019,2023-01-30,2023-01,Growth,Monthly,Outbound Sales,South
CUST0020,2023-01-18,2023-01,Starter,Monthly,Partner,East
CUST0021,2023-01-19,2023-01,Growth,Monthly,Outbound Sales,East
CUST0022,2023-01-17,2023-01,Starter,Annual,Outbound Sales,North
CUST0023,2023-01-05,2023-01,Pro,Annual,Paid Ads,West
CUST0024,2023-01-20,2023-01,Growth,Monthly,Outbound Sales,International
CUST0025,2023-01-31,2023-01,Starter,Monthly,Organic Search,North
CUST0026,2023-01-09,2023-01,Growth,Monthly,Referral,North
CUST0027,2023-01-01,2023-01,Starter,Monthly,Referral,International
CUST0028,2023-01-04,2023-01,Pro,Monthly,Referral,International
CUST0029,2023-01-25,2023-01,Growth,Monthly,Paid Ads,International
CUST0030,2023-01-30,2023-01,Enterprise,Annual,Organic Search,International
CUST0031,2023-01-30,2023-01,Starter,Monthly,Referral,East
CUST0032,2023-01-19,2023-01,Starter,Monthly,Organic Search,North
CUST0033,2023-01-25,2023-01,Growth,Annual,Partner,South
CUST0034,2023-02-18,2023-02,Starter,Monthly,Paid Ads,East
CUST0035,2023-02-07,2023-02,Growth,Monthly,Partner,South
CUST0036,2023-02-22,2023-02,Growth,Monthly,Referral,West
CUST0037,2023-02-08,2023-02,Pro,Monthly,Paid Ads,North
CUST0038,2023-02-08,2023-02,Starter,Monthly,Unknown,South
CUST0039,2023-02-02,2023-02,Starter,Annual,Paid Ads,North
CUST0040,2023-02-03,2023-02,Pro,Annual,Partner,South
CUST0041,2023-02-18,2023-02,Starter,Monthly,Paid Ads,International
CUST0042,2023-02-16,2023-02,Growth,Monthly,Outbound Sales,South
CUST0043,2023-02-12,2023-02,Starter,Monthly,Outbound Sales,West
CUST0044,2023-02-22,2023-02,Growth,Annual,Organic Search,North
CUST0045,2023-02-28,2023-02,Starter,Monthly,Organic Search,South
CUST0046,2023-02-05,2023-02,Starter,Monthly,Outbound Sales,South
CUST0047,2023-02-03,2023-02,Starter,Monthly,Outbound Sales,International
CUST0048,2023-02-18,2023-02,Starter,Monthly,Organic Search,North
CUST0049,2023-02-06,2023-02,Pro,Annual,Outbound Sales,West
CUST0050,2023-02-02,2023-02,Growth,Annual,Paid Ads,West
CUST0051,2023-02-26,2023-02,Starter,Monthly,Outbound Sales,East
CUST0052,2023-02-26,2023-02,Starter,Annual,Partner,West
CUST0053,2023-02-02,2023-02,Starter,Monthly,Partner,International
CUST0054,2023-02-02,2023-02,Starter,Monthly,Partner,West
CUST0055,2023-02-06,2023-02,Growth,Annual,Organic Search,International
CUST0056,2023-02-20,2023-02,Starter,Monthly,Organic Search,South
CUST0057,2023-03-19,2023-03,Starter,Annual,Paid Ads,International
CUST0058,2023-03-14,2023-03,Growth,Monthly,Partner,International
CUST0059,2023-03-07,2023-03,Growth,Annual,Referral,South
CUST0060,2023-03-21,2023-03,Starter,Monthly,Referral,West
CUST0061,2023-03-03,2023-03,Starter,Annual,Organic Search,West
CUST0062,2023-03-04,2023-03,Growth,Monthly,Organic Search,International
CUST0063,2023-03-30,2023-03,Starter,Monthly,Referral,North
CUST0064,2023-03-06,2023-03,Pro,Monthly,Outbound Sales,International
CUST0065,2023-03-26,2023-03,Growth,Monthly,Partner,North
CUST0066,2023-03-30,2023-03,Growth,Monthly,Organic Search,South
CUST0067,2023-03-24,2023-03,Starter,Annual,Partner,South
CUST0068,2023-03-23,2023-03,Starter,Monthly,Referral,South
CUST0069,2023-03-17,2023-03,Growth,Annual,Outbound Sales,East
CUST0070,2023-03-03,2023-03,Pro,Annual,Outbound Sales,East
CUST0071,2023-03-05,2023-03,Starter,Monthly,Referral,South
CUST0072,2023-03-14,2023-03,Growth,Monthly,Partner,North
CUST0073,2023-03-23,2023-03,Starter,Annual,Paid Ads,International
CUST0074,2023-03-18,2023-03,Starter,Monthly,Paid Ads,West
CUST0075,2023-03-29,2023-03,Starter,Monthly,Organic Search,East
CUST0076,2023-03-04,2023-03,Starter,Monthly,Referral,International
CUST0077,2023-03-20,2023-03,Pro,Monthly,Paid Ads,South
CUST0078,2023-04-26,2023-04,Pro,Annual,Paid Ads,West
CUST0079,2023-04-11,2023-04,Starter,Annual,Outbound Sales,South
CUST0080,2023-04-04,2023-04,Starter,Annual,Outbound Sales,North
CUST0081,2023-04-27,2023-04,Pro,Monthly,Outbound Sales,East
CUST0082,2023-04-08,2023-04,Starter,Annual,Paid Ads,North
CUST0083,2023-04-09,2023-04,Growth,Monthly,Organic Search,East
CUST0084,2023-04-22,2023-04,Starter,Monthly,Partner,East
CUST0085,2023-04-09,2023-04,Enterprise,Monthly,Paid Ads,International
CUST0086,2023-04-04,2023-04,Enterprise,Monthly,Partner,West
CUST0087,2023-04-14,2023-04,Starter,Annual,Partner,International
CUST0088,2023-04-07,2023-04,Starter,Annual,Referral,North
CUST0089,2023-04-30,2023-04,Growth,Monthly,Partner,South
CUST0090,2023-05-22,2023-05,Starter,Monthly,Referral,International
CUST0091,2023-05-24,2023-05,Starter,Annual,Referral,International
CUST0092,2023-05-13,2023-05,Starter,Monthly,Referral,International
CUST0093,2023-05-31,2023-05,Starter,Monthly,Outbound Sales,South
CUST0094,2023-05-18,2023-05,Growth,Monthly,Organic Search,East
CUST0095,2023-05-19,2023-05,Starter,Monthly,Partner,East
CUST0096,2023-05-07,2023-05,Growth,Monthly,Partner,West
CUST0097,2023-05-24,2023-05,Pro,Annual,Paid Ads,North
CUST0098,2023-05-20,2023-05,Starter,Monthly,Referral,North
CUST0099,2023-05-22,2023-05,Pro,Annual,Referral,South
CUST0100,2023-05-02,2023-05,Pro,Monthly,Paid Ads,West
CUST0101,2023-05-15,2023-05,Growth,Annual,Outbound Sales,International
CUST0102,2023-05-16,2023-05,Starter,Monthly,Outbound Sales,South
CUST0103,2023-05-29,2023-05,Starter,Monthly,Organic Search,West
CUST0104,2023-05-23,2023-05,Starter,Annual,Partner,West
CUST0105,2023-05-28,2023-05,Starter,Monthly,Organic Search,West
CUST0106,2023-06-17,2023-06,Starter,Monthly,Partner,International
CUST0107,2023-06-15,2023-06,Starter,Annual,Partner,International
CUST0108,2023-06-15,2023-06,Starter,Annual,Unknown,West
CUST0109,2023-06-27,2023-06,Growth,Annual,Referral,Unknown
CUST0110,2023-06-15,2023-06,Growth,Monthly,Organic Search,East
CUST0111,2023-06-29,2023-06,Starter,Monthly,Partner,North
CUST0112,2023-06-23,2023-06,Starter,Monthly,Paid Ads,South
CUST0113,2023-06-18,2023-06,Starter,Monthly,Outbound Sales,West
CUST0114,2023-06-13,2023-06,Starter,Annual,Partner,North
CUST0115,2023-06-13,2023-06,Pro,Annual,Outbound Sales,North
CUST0116,2023-06-13,2023-06,Enterprise,Monthly,Outbound Sales,International
CUST0117,2023-06-20,2023-06,Growth,Monthly,Paid Ads,West
CUST0118,2023-06-01,2023-06,Starter,Monthly,Outbound Sales,East
CUST0119,2023-06-24,2023-06,Growth,Annual,Paid Ads,West
CUST0120,2023-06-18,2023-06,Pro,Annual,Organic Search,West
CUST0121,2023-06-03,2023-06,Growth,Monthly,Outbound Sales,South
CUST0122,2023-06-09,2023-06,Pro,Monthly,Outbound Sales,East
CUST0123,2023-06-25,2023-06,Starter,Monthly,Outbound Sales,East
CUST0124,2023-06-09,2023-06,Pro,Annual,Organic Search,West
CUST0125,2023-06-12,2023-06,Starter,Monthly,Paid Ads,North
CUST0126,2023-07-25,2023-07,Pro,Monthly,Organic Search,South
CUST0127,2023-07-05,2023-07,Starter,Monthly,Paid Ads,South
CUST0128,2023-07-31,2023-07,Growth,Monthly,Paid Ads,West
CUST0129,2023-07-06,2023-07,Growth,Annual,Partner,International
CUST0130,2023-07-25,2023-07,Enterprise,Annual,Paid Ads,East
CUST0131,2023-07-10,2023-07,Starter,Monthly,Partner,West
CUST0132,2023-07-03,2023-07,Starter,Annual,Partner,South
CUST0133,2023-07-28,2023-07,Starter,Annual,Partner,North
CUST0134,2023-07-02,2023-07,Pro,Monthly,Referral,International
CUST0135,2023-07-17,2023-07,Starter,Monthly,Referral,North
CUST0136,2023-07-04,2023-07,Pro,Annual,Outbound Sales,East
CUST0137,2023-07-23,2023-07,Growth,Annual,Paid Ads,West
CUST0138,2023-07-21,2023-07,Starter,Monthly,Referral,International
CUST0139,2023-07-16,2023-07,Pro,Monthly,Outbound Sales,West
CUST0140,2023-07-11,2023-07,Pro,Monthly,Paid Ads,North
CUST0141,2023-07-25,2023-07,Starter,Monthly,Outbound Sales,International
CUST0142,2023-07-01,2023-07,Growth,Monthly,Outbound Sales,East
CUST0143,2023-08-26,2023-08,Starter,Monthly,Referral,East
CUST0144,2023-08-29,2023-08,Starter,Monthly,Referral,International
CUST0145,2023-08-03,2023-08,Starter,Annual,Paid Ads,West
CUST0146,2023-08-23,2023-08,Growth,Annual,Outbound Sales,West
CUST0147,2023-08-10,2023-08,Starter,Monthly,Paid Ads,West
CUST0148,2023-08-19,2023-08,Growth,Monthly,Referral,West
CUST0149,2023-08-24,2023-08,Growth,Monthly,Partner,East
CUST0150,2023-08-10,2023-08,Starter,Monthly,Referral,South
CUST0151,2023-08-04,2023-08,Starter,Monthly,Partner,South
CUST0152,2023-08-09,2023-08,Starter,Annual,Partner,International
CUST0153,2023-08-27,2023-08,Growth,Annual,Paid Ads,East
CUST0154,2023-08-01,2023-08,Starter,Monthly,Partner,South
CUST0155,2023-08-18,2023-08,Starter,Annual,Referral,South
CUST0156,2023-08-04,2023-08,Growth,Annual,Organic Search,International
CUST0157,2023-08-11,2023-08,Starter,Monthly,Paid Ads,North
CUST0158,2023-08-04,2023-08,Starter,Annual,Organic Search,West
CUST0159,2023-08-22,2023-08,Growth,Monthly,Organic Search,South
CUST0160,2023-08-10,2023-08,Starter,Monthly,Organic Search,South
CUST0161,2023-08-20,2023-08,Starter,Annual,Partner,International
CUST0162,2023-09-15,2023-09,Starter,Monthly,Outbound Sales,East
CUST0163,2023-09-10,2023-09,Pro,Annual,Partner,International
CUST0164,2023-09-04,2023-09,Starter,Annual,Paid Ads,South
CUST0165,2023-09-08,2023-09,Starter,Monthly,Paid Ads,International
CUST0166,2023-09-15,2023-09,Starter,Monthly,Partner,West
CUST0167,2023-09-23,2023-09,Starter,Monthly,Referral,West
CUST0168,2023-09-09,2023-09,Starter,Monthly,Partner,South
CUST0169,2023-09-21,2023-09,Starter,Monthly,Paid Ads,East
CUST0170,2023-09-06,2023-09,Pro,Monthly,Referral,International
CUST0171,2023-09-10,2023-09,Growth,Monthly,Outbound Sales,North
CUST0172,2023-09-13,2023-09,Growth,Monthly,Referral,International
CUST0173,2023-09-20,2023-09,Growth,Monthly,Organic Search,West
CUST0174,2023-09-01,2023-09,Growth,Monthly,Organic Search,South
CUST0175,2023-09-19,2023-09,Enterprise,Annual,Partner,North
CUST0176,2023-09-09,2023-09,Enterprise,Monthly,Partner,North
CUST0177,2023-09-17,2023-09,Pro,Monthly,Outbound Sales,East
CUST0178,2023-09-21,2023-09,Starter,Monthly,Outbound Sales,North
CUST0179,2023-09-11,2023-09,Growth,Monthly,Organic Search,South
