Subscription_Events,,,,,,
event_id,customer_id,event_date,event_type,plan_before,plan_after,mrr_amount
EVT00001,CUST0001,2023-01-09,New,,Growth,2499
EVT00002,CUST0001,2023-02-05,Churn,Growth,,-2499
EVT00003,CUST0001,2023-08-23,Reactivation,,Growth,2499
EVT00004,CUST0002,2023-01-24,New,,Starter,999
EVT00005,CUST0002,2023-12-30,Upgrade,Starter,Growth,1500
EVT00006,CUST0002,2024-11-05,Churn,Growth,,-2499
EVT00007,CUST0003,2023-01-03,New,,Growth,2499
EVT00008,CUST0003,2024-02-25,Churn,Growth,,-2499
EVT00009,CUST0004,2023-01-07,New,,Growth,2499
EVT00010,CUST0004,2024-02-04,Upgrade,Growth,Pro,3500
EVT00011,CUST0004,2025-02-28,Downgrade,Pro,Growth,-3500
EVT00012,CUST0005,2023-01-26,New,,Starter,999
EVT00013,CUST0005,2024-08-17,Churn,Starter,,-999
EVT00014,CUST0006,2023-01-05,New,,Growth,2499
EVT00015,CUST0006,2024-10-28,Churn,Growth,,-2499
EVT00016,CUST0007,2023-01-12,New,,Starter,999
EVT00017,CUST0007,2023-12-12,Churn,Starter,,-999
EVT00018,CUST0007,2024-02-12,Reactivation,,Starter,999
EVT00019,CUST0008,2023-01-15,New,,Starter,999
EVT00020,CUST0008,2023-09-23,Churn,Starter,,-999
EVT00021,CUST0008,2024-02-19,Reactivation,,Starter,999
EVT00022,CUST0008,2024-04-04,Upgrade,Starter,Growth,1500
EVT00023,CUST0008,2024-12-11,Upgrade,Growth,Pro,3500
EVT00024,CUST0008,2025-06-10,Downgrade,Pro,Growth,-3500
EVT00025,CUST0008,2025-11-11,Downgrade,Growth,Starter,-1500
EVT00026,CUST0009,2023-01-18,New,,Enterprise,14999
EVT00027,CUST0010,2023-01-07,New,,Pro,5999
EVT00028,CUST0011,2023-01-03,New,,Growth,2074.17
EVT00029,CUST0011,2025-09-05,Upgrade,Growth,Pro,2905
EVT00030,CUST0012,2023-01-27,New,,Starter,999
EVT00031,CUST0012,2024-06-06,Churn,Starter,,-999
EVT00032,CUST0013,2023-01-09,New,,Starter,999
EVT00033,CUST0013,2023-07-24,Churn,Starter,,-999
EVT00034,CUST0013,2023-12-26,Reactivation,,Starter,999
EVT00035,CUST0013,2024-01-21,Upgrade,Starter,Growth,1500
EVT00036,CUST0013,2024-06-16,Downgrade,Growth,Starter,-1500
EVT00037,CUST0013,2024-12-21,Upgrade,Starter,Growth,1500
EVT00038,CUST0014,2023-01-08,New,,Growth,2499
EVT00039,CUST0014,2023-03-11,Downgrade,Growth,Starter,-1500
EVT00040,CUST0014,2023-05-06,Upgrade,Starter,Growth,1500
EVT00041,CUST0015,2023-01-21,New,,Starter,829.17
